acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.25,-0.13,1.01,-5.57,-0.32,0.34
0.25,-0.13,1.01,-5.6,1.68,0.06
0.25,-0.13,1.02,-5.71,3.18,-0.29
0.24,-0.13,1.0,-6.31,3.1,-0.67
0.22,-0.14,1.01,-6.43,4.12,-0.82
0.22,-0.14,1.02,-6.93,4.89,-0.26
0.22,-0.15,1.04,-7.28,4.72,0.0
0.23,-0.14,1.04,-6.44,1.92,-0.52
0.23,-0.14,1.03,-5.02,1.73,-0.32
0.22,-0.15,1.03,-5.16,1.5,-0.23
0.22,-0.14,1.03,-5.27,1.86,0.29
0.22,-0.14,1.01,-4.61,2.99,0.75
0.22,-0.14,1.0,-5.08,3.3,1.08
0.24,-0.13,1.01,-6.58,3.53,1.59
0.25,-0.14,1.02,-7.94,4.21,1.83
0.26,-0.13,1.03,-8.23,3.36,1.71
0.25,-0.14,1.04,-7.44,3.02,0.0
0.25,-0.15,1.03,-6.55,3.79,0.08
0.25,-0.15,1.05,-6.75,4.02,0.49
0.25,-0.15,1.04,-6.31,2.7,0.03
0.24,-0.14,1.01,-4.84,2.64,-0.72
0.22,-0.14,0.98,-4.55,2.69,-1.08
0.22,-0.13,0.98,-6.43,3.08,-0.21
0.22,-0.13,0.98,-9.21,3.6,0.18
0.25,-0.12,0.95,-11.08,4.67,1.01
0.27,-0.15,1.01,-13.92,9.28,2.06
0.24,-0.14,1.02,-15.47,3.69,2.12
0.23,-0.15,1.05,-16.08,11.19,1.74
0.24,-0.15,1.07,-13.77,2.55,-0.06
0.26,-0.15,1.08,-10.63,1.53,-0.63
0.23,-0.16,1.07,-8.85,3.66,-0.35
0.21,-0.15,1.02,-6.11,0.98,-1.31
0.21,-0.14,1.02,-5.5,1.21,-1.31
0.17,-0.14,1.0,-6.49,-0.17,-0.92
0.2,-0.13,1.04,-8.79,-2.69,-1.91
0.2,-0.15,1.01,-11.51,2.6,0.24
0.21,-0.15,1.03,-10.24,1.3,0.34
0.2,-0.16,1.06,-10.81,-0.34,0.78
0.21,-0.15,1.07,-13.68,-2.43,0.52
0.23,-0.16,1.07,-10.08,-3.28,0.9
0.21,-0.15,1.06,-7.16,-3.76,0.81
0.21,-0.15,1.08,-7.83,-5.05,0.9
0.18,-0.17,1.06,-7.44,-9.83,1.13
0.23,-0.15,1.14,-6.63,-16.02,1.1
0.22,-0.15,1.11,-7.45,-18.63,3.39
0.33,-0.17,1.2,-3.57,-24.98,4.87
0.32,-0.18,1.22,1.48,-40.34,3.97
0.42,-0.19,1.2,7.92,-46.27,2.96
0.39,-0.16,1.34,22.72,-42.35,2.32
0.44,-0.18,1.31,15.59,-24.93,2.35
0.39,-0.18,1.33,5.19,-1.39,0.78
0.35,-0.2,1.36,-0.37,15.5,-0.35
0.28,-0.2,1.38,0.61,21.16,-1.3
0.28,-0.2,1.37,6.99,15.97,-1.53
0.3,-0.2,1.39,12.09,3.48,-1.83
0.35,-0.19,1.39,17.21,-12.12,-2.7
0.36,-0.2,1.36,22.18,-11.79,-2.93
0.33,-0.19,1.39,22.98,-6.79,-3.62
0.4,-0.2,1.4,22.11,-6.58,-1.71
0.39,-0.21,1.41,24.31,0.02,-3.05
0.4,-0.19,1.39,39.16,1.54,-5.76
0.4,-0.15,1.35,41.8,6.14,-5.53
0.37,-0.2,1.43,42.38,11.31,-3.57
0.42,-0.2,1.42,44.02,15.44,-2.2
0.46,-0.2,1.38,50.02,21.85,-2.67
0.47,-0.18,1.34,60.23,25.22,-6.78
0.42,-0.17,1.25,59.82,35.18,-8.93
0.37,-0.17,1.24,61.86,37.16,-12.18
0.34,-0.15,1.2,65.54,34.12,-15.02
