acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.13,-0.13,1.04,-8.61,-6.9,-6.46
0.13,-0.12,1.04,-8.9,-9.92,-4.76
0.15,-0.13,1.07,-10.4,-13.07,-2.85
0.17,-0.13,1.11,-9.28,-13.73,-1.48
0.19,-0.14,1.14,-6.37,-10.08,-0.84
0.21,-0.14,1.17,-3.05,-4.23,-0.7
0.23,-0.15,1.14,-0.31,-0.23,-1.1
0.24,-0.13,1.08,0.56,4.09,-2.64
0.2,-0.13,1.03,-0.06,6.43,-3.05
0.14,-0.12,0.99,-0.58,5.19,-1.66
0.13,-0.12,0.98,-2.61,0.34,0.41
0.17,-0.12,1.0,-6.26,-5.86,1.82
0.17,-0.13,1.01,-6.31,-4.52,2.6
0.17,-0.14,1.05,-7.07,-3.6,3.74
0.18,-0.15,1.07,-6.43,-0.18,4.69
0.19,-0.14,1.09,-4.47,1.85,4.23
0.18,-0.13,1.1,-2.41,1.88,3.82
0.16,-0.13,1.08,0.21,-0.76,4.38
0.17,-0.12,1.06,1.47,0.26,5.28
0.17,-0.12,1.04,0.55,-0.27,6.35
0.18,-0.13,1.03,-0.29,0.44,7.04
0.19,-0.13,1.04,-1.65,-2.75,8.03
0.19,-0.12,1.06,-1.45,-1.77,8.63
0.21,-0.14,1.05,-0.32,1.69,9.21
0.2,-0.13,1.05,-0.18,1.6,9.4
0.2,-0.12,1.05,1.39,1.74,9.39
0.23,-0.1,1.04,2.66,-0.63,9.4
0.29,-0.11,1.07,2.11,-5.83,8.69
0.35,-0.1,1.08,1.48,-6.17,5.82
0.35,-0.13,1.06,2.03,10.69,1.48
0.29,-0.13,1.05,0.11,16.15,1.34
0.29,-0.16,0.97,-2.73,24.29,0.61
0.15,-0.12,1.04,-4.4,13.3,2.93
0.16,-0.14,0.98,-2.0,7.53,5.21
0.13,-0.13,1.0,-1.69,10.38,7.3
0.12,-0.14,1.02,-1.16,4.02,9.33
0.17,-0.15,1.02,-1.33,5.07,9.59
0.15,-0.15,1.03,-1.28,1.18,9.44
0.16,-0.15,1.01,-0.2,4.05,8.31
0.12,-0.14,1.01,-0.31,4.23,8.69
0.05,-0.14,0.99,-1.28,1.25,10.79
0.06,-0.13,1.02,-1.77,-5.74,12.32
0.04,-0.13,1.05,1.16,-10.52,14.18
0.04,-0.14,1.08,3.97,-14.35,17.63
0.09,-0.14,1.11,5.47,-12.89,20.52
0.12,-0.14,1.12,6.72,-10.98,21.92
0.2,-0.14,1.09,12.08,-6.44,19.82
0.18,-0.13,1.04,12.49,-5.57,17.51
0.12,-0.12,0.99,11.73,-7.63,18.21
0.08,-0.11,0.95,9.77,-13.89,20.2
0.09,-0.12,0.96,7.48,-18.34,22.29
0.11,-0.12,0.97,5.28,-24.72,23.21
0.13,-0.14,1.0,4.4,-26.4,23.02
0.12,-0.14,1.04,3.94,-24.76,24.99
0.14,-0.15,1.05,5.11,-23.28,26.09
0.15,-0.17,1.08,6.05,-18.92,26.73
0.14,-0.15,1.07,5.92,-14.66,27.76
0.08,-0.15,1.07,7.79,-17.6,30.7
0.11,-0.15,1.04,10.26,-15.19,33.76
0.13,-0.13,1.02,6.43,-22.9,37.44
0.17,-0.14,0.98,4.58,-20.61,38.31
0.14,-0.15,1.01,1.39,-20.23,38.9
0.12,-0.17,1.01,-1.31,-20.69,40.64
0.08,-0.18,1.05,-1.19,-18.66,43.18
0.1,-0.17,1.11,3.11,-22.49,46.09
0.12,-0.17,1.11,13.08,-13.66,47.45
0.15,-0.16,1.06,16.67,-3.28,48.93
0.12,-0.14,1.05,13.59,-7.05,51.11
0.14,-0.14,1.02,11.13,-12.09,53.51
0.11,-0.12,1.0,7.44,-22.64,55.54
0.21,-0.11,1.02,3.25,-14.46,55.85
0.19,-0.12,1.05,7.08,-19.04,56.46
0.21,-0.11,1.0,12.5,-7.88,54.37
0.16,-0.09,0.99,12.69,-6.66,56.82
0.24,-0.12,0.99,9.6,0.14,55.56
0.23,-0.12,0.98,6.7,0.05,54.69
0.19,-0.11,0.98,5.71,0.35,54.31
0.15,-0.11,0.95,4.96,-1.1,55.98
0.13,-0.12,0.97,1.68,-8.38,57.95
0.12,-0.12,1.01,-1.45,-17.82,60.18
0.15,-0.12,1.03,1.56,-21.8,62.73
0.21,-0.14,1.05,2.32,-19.18,62.69
0.22,-0.15,1.08,4.79,-14.75,62.61
0.21,-0.17,1.11,0.24,-3.21,64.95
0.23,-0.21,1.02,0.37,2.17,65.91
0.2,-0.15,1.11,2.2,5.65,67.4
0.19,-0.16,1.06,5.31,7.07,67.02
0.21,-0.16,1.03,5.6,7.36,66.14
0.16,-0.19,0.97,5.83,-8.56,64.0
0.16,-0.18,0.98,4.96,-14.9,65.77
0.17,-0.21,0.99,5.62,-33.42,65.51
0.24,-0.21,1.07,4.05,-39.73,63.76
0.32,-0.26,1.08,5.51,-48.09,61.65
0.3,-0.23,1.09,8.18,-23.97,63.6
0.18,-0.21,1.08,6.52,-17.07,64.2
0.29,-0.22,1.0,7.19,-22.73,69.42
0.24,-0.19,1.0,6.89,2.12,71.82
0.23,-0.2,0.97,11.94,-5.24,71.98
0.22,-0.19,0.98,10.06,-2.84,71.92
0.19,-0.18,0.97,4.78,-12.44,73.1
0.22,-0.21,0.98,4.29,-25.02,71.3
0.24,-0.18,1.18,-10.72,-0.27,68.37
