acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.18,-0.05,0.98,-2.27,-5.13,5.21
0.22,-0.04,0.93,-2.61,-0.92,2.49
0.21,-0.04,0.93,-7.15,-0.7,1.39
0.21,-0.03,0.95,-13.69,-3.62,-0.44
0.18,-0.05,1.03,-15.31,-5.21,-0.72
0.17,-0.06,1.06,-11.83,-2.7,-0.66
0.15,-0.06,1.09,-9.95,-4.41,0.53
0.15,-0.06,1.11,-9.88,-6.92,2.05
0.15,-0.08,1.12,-8.63,-5.57,3.69
0.18,-0.07,1.11,-5.5,-2.52,4.35
0.2,-0.07,1.09,-4.87,-0.02,4.75
0.19,-0.08,1.04,-2.55,0.72,3.42
0.19,-0.07,0.99,-3.07,0.5,2.56
0.17,-0.07,0.97,-5.11,-4.26,2.18
0.16,-0.06,0.96,-8.5,-5.5,1.97
0.15,-0.07,0.97,-9.6,-10.99,1.15
0.15,-0.08,1.02,-13.8,-13.19,1.92
0.16,-0.09,1.05,-14.27,-7.8,3.57
0.18,-0.11,1.08,-13.57,-3.21,4.78
0.21,-0.11,1.11,-11.56,-0.44,5.3
0.25,-0.11,1.14,-7.25,1.79,3.37
0.25,-0.13,1.13,-0.34,2.27,0.4
0.21,-0.11,1.1,4.63,-4.12,-1.48
0.2,-0.1,1.05,6.09,-14.99,-2.47
0.18,-0.09,1.03,6.2,-30.34,-1.8
0.23,-0.06,1.01,4.2,-34.32,-0.26
0.28,-0.05,0.99,0.75,-30.37,-0.96
0.3,-0.04,0.99,-1.83,-21.05,-1.74
0.31,-0.03,1.03,-4.18,-13.48,-0.95
0.36,-0.05,1.01,-6.24,-2.02,-1.33
0.41,-0.05,1.1,-12.55,14.17,-5.5
0.38,-0.07,1.11,-11.01,20.64,-8.85
0.34,-0.07,1.08,-7.05,32.03,-11.53
0.28,-0.06,1.05,-7.98,31.3,-11.37
0.23,-0.07,1.03,-8.72,22.6,-10.84
0.23,-0.06,1.02,-9.3,14.75,-9.66
0.25,-0.06,1.04,-8.99,4.61,-10.23
0.25,-0.06,1.07,-9.57,-5.4,-10.66
0.29,-0.05,1.09,-9.13,-6.2,-10.6
0.35,-0.06,1.11,-8.21,-1.44,-12.34
0.37,-0.07,1.11,-7.16,4.67,-14.75
0.37,-0.08,1.11,-7.31,14.82,-16.95
0.31,-0.11,1.1,-6.4,34.21,-20.55
0.24,-0.12,1.07,-3.68,26.92,-23.05
0.17,-0.1,1.04,-2.55,13.3,-22.56
0.16,-0.12,1.01,1.11,0.73,-21.95
0.19,-0.1,0.98,-0.09,-3.66,-20.67
0.21,-0.08,0.97,-3.76,-8.08,-19.19
0.28,-0.08,1.02,-9.4,-9.97,-18.72
0.33,-0.08,1.03,-11.65,0.81,-20.0
0.35,-0.07,1.05,-12.2,16.92,-21.3
0.36,-0.07,1.04,-13.37,27.94,-23.1
0.33,-0.07,1.05,-13.97,28.09,-25.37
0.31,-0.09,1.08,-12.52,26.75,-26.58
0.25,-0.12,1.11,-2.82,14.7,-30.46
0.26,-0.12,1.09,-0.7,11.3,-30.96
0.25,-0.12,1.05,-1.13,8.78,-31.31
0.24,-0.1,1.04,-3.89,7.11,-29.22
0.28,-0.09,1.03,-6.18,7.82,-27.82
0.3,-0.09,1.02,-8.06,10.14,-27.68
0.34,-0.08,1.02,-9.01,10.2,-28.37
0.38,-0.09,1.04,-8.0,11.4,-30.95
0.4,-0.11,1.02,-7.1,16.09,-34.52
0.4,-0.13,1.02,-7.47,20.14,-39.19
0.31,-0.14,1.02,-8.21,14.56,-42.53
0.27,-0.1,1.0,-11.19,13.15,-40.84
0.19,-0.11,0.93,-5.01,-0.72,-43.83
0.17,-0.11,0.91,-7.54,-11.65,-43.6
0.16,-0.1,0.91,-10.99,-16.41,-40.93
