acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.19,-0.19,0.84,-35.6,19.62,-9.63
0.12,-0.17,0.94,-32.85,-34.12,-26.29
0.07,-0.18,1.06,-23.63,-71.54,-34.05
0.11,-0.19,1.13,-10.53,-85.66,-34.76
0.16,-0.18,1.12,-4.5,-79.65,-31.34
0.16,-0.17,1.04,-5.8,-64.95,-22.98
0.18,-0.13,0.99,-11.85,-41.02,-11.89
0.2,-0.1,0.91,-16.81,-6.96,0.85
0.23,-0.1,0.85,-21.76,23.36,12.21
0.25,-0.11,0.82,-29.05,26.06,17.56
0.36,-0.13,0.84,-36.81,27.4,13.86
0.19,-0.18,0.98,-38.81,-16.92,-16.0
0.13,-0.22,1.06,-34.32,-31.18,-17.89
0.11,-0.23,1.14,-29.01,-43.45,-16.46
0.16,-0.22,1.14,-25.25,-40.29,-16.2
0.15,-0.24,1.18,-19.86,-8.2,-7.57
0.08,-0.23,1.15,-9.25,9.8,3.5
0.13,-0.22,1.03,-5.91,23.18,15.56
0.24,-0.18,0.96,-10.49,20.58,20.08
0.33,-0.16,0.93,-16.0,20.76,17.6
0.36,-0.14,0.92,-18.21,18.44,9.92
0.37,-0.13,0.92,-19.88,10.64,-1.39
0.35,-0.13,0.9,-22.34,1.34,-13.44
0.21,-0.14,0.94,-33.94,-8.27,-21.3
0.15,-0.15,0.97,-39.73,-0.31,-16.23
0.11,-0.17,1.0,-42.02,9.8,-10.09
0.08,-0.17,1.03,-40.72,13.16,-3.59
0.07,-0.18,1.09,-35.85,6.49,3.62
0.12,-0.17,1.15,-28.18,3.22,7.82
0.19,-0.18,1.17,-22.03,7.04,9.48
0.25,-0.16,1.16,-19.88,9.34,9.28
0.3,-0.18,1.16,-17.63,10.66,6.14
0.29,-0.18,1.13,-14.76,16.99,0.95
0.22,-0.16,1.1,-12.63,12.92,-1.92
0.14,-0.17,1.03,-12.44,9.86,-1.88
0.09,-0.18,1.03,-13.68,-0.58,0.92
0.09,-0.2,1.04,-12.21,5.56,7.79
0.09,-0.2,1.04,-10.61,7.22,11.01
0.12,-0.19,1.06,-7.97,6.35,13.04
0.16,-0.19,1.04,-4.84,0.89,13.83
0.21,-0.17,1.04,-2.81,-4.6,11.98
0.22,-0.16,1.03,0.41,-5.07,10.23
0.21,-0.16,1.01,1.95,-3.5,9.05
0.24,-0.14,0.98,-1.42,-5.1,9.05
0.26,-0.13,0.96,-5.91,-4.73,9.27
0.3,-0.14,0.95,-9.33,-3.13,7.92
0.32,-0.14,0.96,-11.62,1.13,5.45
0.3,-0.14,0.97,-11.94,1.19,3.92
0.31,-0.12,1.0,-10.23,-1.5,2.75
0.35,-0.14,1.0,-9.37,-2.63,0.17
0.36,-0.15,1.03,-9.05,-6.0,-2.78
0.34,-0.16,1.06,-10.2,-4.34,-6.6
0.35,-0.18,1.04,-10.67,-1.21,-6.7
0.39,-0.2,1.03,-13.08,-2.75,-8.73
0.42,-0.2,1.05,-15.34,-3.69,-11.83
0.43,-0.22,1.07,-12.84,3.92,-14.37
0.41,-0.22,1.06,-10.26,9.24,-16.35
0.4,-0.22,1.05,-9.85,9.88,-17.25
0.43,-0.22,1.04,-8.31,8.56,-18.31
0.48,-0.22,1.04,-7.69,8.76,-21.44
0.49,-0.19,1.03,-7.83,9.71,-25.97
0.47,-0.17,0.99,-7.98,14.05,-27.31
0.44,-0.17,0.95,-10.9,14.93,-28.78
0.41,-0.2,1.0,-18.84,11.01,-29.68
0.42,-0.22,1.04,-20.43,15.91,-30.76
0.4,-0.23,1.1,-21.1,14.95,-31.53
0.4,-0.25,1.15,-19.83,22.58,-31.8
0.4,-0.28,1.19,-14.23,36.96,-32.08
0.37,-0.31,1.2,-7.19,44.98,-31.05
0.32,-0.33,1.17,-0.21,43.04,-28.98
0.35,-0.33,1.12,4.92,38.52,-27.73
0.33,-0.31,1.07,9.27,36.9,-27.73
0.34,-0.27,1.01,11.34,37.21,-29.36
0.3,-0.23,0.92,9.88,36.79,-30.89
0.24,-0.21,0.87,5.11,29.76,-30.5
0.23,-0.21,0.88,-4.4,15.1,-31.82
0.24,-0.21,0.93,-7.88,9.62,-33.19
0.23,-0.22,1.01,-8.9,8.61,-32.6
0.22,-0.23,1.04,-6.43,10.56,-30.41
0.29,-0.24,1.08,-3.08,4.82,-32.11
0.4,-0.25,1.08,-2.03,1.19,-38.85
0.48,-0.26,1.1,-3.48,3.94,-48.34
0.48,-0.26,1.12,-5.01,12.29,-57.05
0.43,-0.27,1.12,-4.81,22.87,-62.29
0.36,-0.27,1.08,-2.73,33.91,-64.89
0.26,-0.26,1.0,-2.7,37.88,-64.9
0.2,-0.26,0.94,-5.31,34.08,-62.06
0.21,-0.24,0.93,-7.66,27.34,-59.4
0.28,-0.27,0.94,-9.13,22.12,-59.42
0.34,-0.27,0.96,-10.75,17.08,-62.98
0.41,-0.27,0.98,-12.44,14.32,-68.92
0.43,-0.28,0.99,-12.47,20.63,-76.56
0.37,-0.29,0.96,-12.81,32.6,-82.38
0.27,-0.29,0.9,-15.1,38.44,-83.48
0.25,-0.28,0.86,-19.42,39.19,-84.78
0.18,-0.3,0.88,-24.21,38.99,-85.54
0.14,-0.32,0.89,-28.43,38.23,-83.56
0.12,-0.33,0.91,-32.08,38.52,-81.76
0.13,-0.32,0.94,-32.92,40.09,-80.67
0.15,-0.32,0.93,-30.5,47.18,-78.67
0.22,-0.34,0.93,-29.73,45.6,-86.09
0.25,-0.32,0.93,-30.15,46.34,-93.76
0.21,-0.34,0.91,-31.16,57.83,-100.76
0.08,-0.33,0.86,-33.36,59.83,-102.93
-0.03,-0.35,0.81,-34.7,51.97,-101.42
-0.08,-0.35,0.83,-38.0,41.5,-97.37
-0.09,-0.36,0.89,-41.97,37.94,-91.6
-0.08,-0.39,1.0,-44.82,41.57,-85.01
-0.07,-0.41,1.07,-43.53,48.96,-77.04
-0.09,-0.45,1.15,-33.13,59.3,-68.2
-0.05,-0.45,1.15,-27.33,61.11,-63.71
-0.01,-0.44,1.09,-23.51,66.41,-62.0
0.02,-0.41,0.98,-21.08,71.13,-64.95
-0.02,-0.39,0.89,-21.33,64.63,-67.42
-0.05,-0.38,0.84,-25.19,58.35,-68.02
-0.08,-0.38,0.82,-29.76,52.89,-67.71
