acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.11,-0.06,0.97,-5.59,-12.24,-3.02
0.14,-0.05,0.96,-8.52,-11.53,-2.02
0.14,-0.05,0.97,-11.02,-4.56,-0.82
0.19,-0.05,0.98,-12.26,1.19,-1.28
0.17,-0.06,1.01,-10.99,5.4,-1.39
0.15,-0.05,1.0,-8.64,5.66,-1.28
0.13,-0.05,0.98,-7.48,1.76,-2.03
0.12,-0.05,0.97,-7.6,-0.73,-3.45
0.14,-0.07,0.97,-7.45,-2.85,-3.98
0.12,-0.09,1.0,-6.75,-1.05,-2.4
0.1,-0.09,1.01,-6.27,1.88,-0.56
0.1,-0.09,0.99,-7.86,0.72,-0.66
0.11,-0.08,1.0,-7.31,-3.33,-0.53
0.08,-0.06,0.99,-6.63,-4.99,1.28
0.14,-0.05,0.97,-8.93,-6.24,-0.92
0.21,-0.05,0.96,-11.25,-8.02,-2.99
0.21,-0.07,0.97,-12.78,-8.87,-4.47
0.22,-0.09,0.99,-13.39,-4.53,-6.38
0.22,-0.1,0.98,-13.44,0.64,-6.98
0.17,-0.1,0.97,-13.97,3.42,-4.82
0.1,-0.09,1.01,-12.76,-2.41,-4.58
0.11,-0.09,0.99,-13.21,-2.9,-5.1
0.15,-0.1,1.0,-14.11,-6.66,-5.45
0.14,-0.11,1.03,-13.86,-0.61,-4.69
0.15,-0.12,1.02,-12.84,5.05,-3.71
0.11,-0.11,1.04,-9.69,6.64,-2.23
0.08,-0.12,1.03,-12.49,-5.5,-3.69
0.12,-0.09,1.0,-15.08,-11.34,-5.36
0.15,-0.11,1.03,-15.65,-6.58,-5.04
0.17,-0.13,1.09,-16.09,-0.27,-4.49
0.18,-0.13,1.13,-16.2,4.21,-3.5
0.17,-0.15,1.14,-15.85,4.98,-4.14
0.18,-0.14,1.15,-14.98,3.1,-6.55
0.19,-0.14,1.18,-12.82,4.6,-7.86
0.19,-0.16,1.2,-10.43,6.23,-8.08
0.16,-0.17,1.23,-8.32,6.35,-8.23
0.15,-0.18,1.25,-6.44,3.69,-8.47
0.11,-0.19,1.27,-3.42,2.5,-7.27
0.07,-0.19,1.28,0.03,6.15,-4.78
0.05,-0.19,1.24,1.79,4.69,-1.88
0.02,-0.18,1.19,3.1,-1.76,2.2
0.04,-0.15,1.1,2.37,-5.37,1.94
0.09,-0.14,1.06,-0.78,-7.25,1.42
0.11,-0.14,1.04,-2.85,-10.21,1.54
0.1,-0.14,1.04,-4.05,-2.15,2.9
0.12,-0.12,1.0,-6.23,2.08,4.34
0.1,-0.11,0.98,-8.73,5.36,5.59
0.1,-0.11,0.93,-12.79,5.51,6.44
0.1,-0.09,0.87,-19.22,-1.07,7.86
0.07,-0.09,0.8,-27.89,-7.76,9.88
0.07,-0.07,0.74,-37.19,-16.12,10.23
0.1,-0.08,0.72,-43.42,-20.67,8.96
0.15,-0.08,0.71,-49.66,-23.63,15.02
0.17,-0.01,0.7,-40.73,-20.56,6.35
0.18,-0.09,0.62,-46.56,-10.89,2.72
0.12,-0.1,0.58,-48.26,-8.2,4.34
0.12,-0.09,0.57,-47.11,-3.51,7.22
0.09,-0.08,0.54,-47.08,-5.4,9.1
0.13,-0.07,0.53,-48.11,-7.1,6.63
0.21,-0.07,0.52,-49.71,-7.86,1.85
0.25,-0.08,0.52,-49.98,-6.73,-2.11
0.25,-0.11,0.55,-50.63,3.08,-4.32
0.26,-0.12,0.53,-55.07,15.92,-6.78
0.21,-0.12,0.49,-59.36,13.11,-7.5
0.04,-0.13,0.48,-63.8,4.31,-1.39
-0.06,-0.13,0.49,-68.84,-8.23,5.37
-0.02,-0.16,0.53,-74.21,-18.05,7.62
0.08,-0.2,0.66,-62.35,-8.96,10.79
0.24,-0.29,0.87,-53.25,-7.18,6.09
0.3,-0.35,0.93,-45.86,-1.82,-0.84
0.37,-0.39,1.0,-43.34,10.5,-7.18
0.35,-0.43,1.06,-37.02,34.5,-5.69
0.24,-0.48,1.07,-37.28,50.37,-3.94
0.11,-0.45,1.03,-37.47,41.31,-1.69
-0.06,-0.42,0.97,-35.56,29.27,4.82
-0.11,-0.39,0.85,-35.86,2.11,7.4
-0.1,-0.38,0.81,-41.71,-32.7,10.73
-0.04,-0.42,0.9,-36.72,-39.59,9.86
0.14,-0.47,1.09,-42.11,-19.37,9.65
0.29,-0.45,1.18,-41.16,5.24,2.32
0.31,-0.48,1.26,-37.63,25.59,0.11
0.28,-0.47,1.24,-38.18,28.85,-1.33
0.16,-0.47,1.2,-40.02,24.47,-0.38
0.08,-0.45,1.14,-42.26,19.79,1.48
0.05,-0.46,1.1,-46.35,7.37,2.2
0.04,-0.46,1.06,-48.44,-5.28,3.11
0.03,-0.48,1.1,-48.21,-9.91,4.89
0.06,-0.49,1.14,-45.5,-4.32,6.66
0.09,-0.51,1.16,-43.8,0.52,8.6
0.11,-0.5,1.15,-38.84,3.02,8.6
0.13,-0.51,1.17,-38.26,8.63,8.44
0.15,-0.51,1.15,-38.69,9.15,7.57
0.16,-0.52,1.12,-36.41,9.08,6.49
0.15,-0.53,1.12,-35.79,5.69,4.34
