acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0.08,-0.02,1.07,-2.2,1.22,-2.0
0.09,0.0,1.05,-3.63,1.36,-2.58
0.12,0.01,1.04,-4.73,0.85,-3.89
0.14,0.0,1.07,-4.73,1.73,-4.75
0.12,-0.0,1.09,-4.82,1.22,-4.02
0.08,-0.01,1.07,-3.77,2.05,-3.66
0.09,-0.01,1.07,-3.79,2.56,-3.97
0.08,-0.01,1.02,-4.76,1.45,-3.08
0.05,-0.01,1.01,-6.18,-1.89,-1.62
0.04,-0.01,1.01,-7.79,-4.76,-0.37
0.05,-0.01,1.02,-8.21,-6.47,-0.29
0.07,-0.01,1.03,-7.8,-2.08,-0.23
0.11,-0.01,1.09,-5.24,0.55,-1.57
0.13,-0.01,1.13,-1.95,3.02,-2.85
0.13,-0.0,1.14,-0.95,3.94,-3.3
0.11,-0.0,1.09,-0.46,4.32,-3.31
0.1,-0.0,1.05,-2.41,3.11,-2.41
0.09,-0.01,1.02,-4.98,0.66,-1.6
0.07,-0.01,1.0,-7.97,-1.08,-0.47
0.07,-0.0,0.99,-10.56,-2.55,0.17
0.07,-0.01,1.01,-9.94,-4.53,0.75
0.06,-0.03,1.02,-7.82,-6.23,1.53
0.07,-0.03,1.05,-6.78,-3.53,0.56
0.12,-0.02,1.06,-5.53,-0.38,-1.05
0.12,-0.02,1.07,-6.56,2.09,-0.72
0.11,-0.02,1.06,-8.24,5.83,-0.5
0.11,-0.02,1.07,-5.66,0.98,-0.72
0.07,-0.01,1.06,-6.0,-0.78,-0.76
0.09,-0.01,1.05,-7.33,-1.59,-0.9
0.09,-0.01,1.04,-8.24,-0.93,-0.9
0.09,-0.01,1.06,-7.95,-1.86,-0.09
0.06,-0.01,1.05,-7.22,-1.54,0.37
0.08,-0.02,1.07,-4.79,-3.53,0.38
0.08,-0.02,1.11,-3.82,-1.83,0.95
0.08,-0.02,1.1,-3.51,1.56,1.65
0.1,-0.03,1.1,-2.9,3.83,1.47
0.12,-0.03,1.1,-1.33,6.2,0.08
0.14,-0.03,1.07,-1.18,6.18,-1.44
0.11,-0.03,1.03,-2.87,6.14,-2.72
0.1,-0.01,0.99,-5.48,7.18,-1.92
0.08,-0.01,0.97,-10.78,7.04,-0.32
0.07,-0.01,0.96,-14.06,4.32,1.44
0.02,-0.02,0.97,-11.6,-3.88,4.03
0.03,-0.03,1.08,-4.0,-2.32,5.21
0.07,-0.03,1.21,1.07,-4.92,4.17
0.15,0.03,1.24,8.46,0.15,0.72
0.18,-0.03,1.3,9.47,3.02,-1.76
0.19,-0.01,1.24,9.98,5.65,-2.09
0.12,-0.0,1.17,7.79,2.08,-1.04
0.08,0.01,1.08,6.46,-0.43,-0.21
0.07,0.01,1.05,2.49,-3.11,0.99
0.07,0.02,1.0,-2.52,-7.51,1.25
0.06,0.01,0.96,-6.52,-9.3,1.47
0.08,0.02,0.97,-9.53,-8.67,1.15
0.1,0.0,1.0,-10.21,-8.76,0.98
0.09,0.0,1.04,-7.85,-4.73,0.31
0.1,-0.0,1.08,-2.47,-1.39,-0.24
0.09,-0.01,1.13,0.38,-1.18,-0.37
0.11,-0.0,1.1,1.45,1.15,-1.39
0.12,-0.01,1.07,-2.52,4.67,-1.82
0.1,0.0,1.02,-5.07,0.98,-1.54
0.07,0.0,1.0,-7.01,-2.46,-0.63
