gyro, -4.03, 0.00, -1.19
gyro, -6.87, 5.76, -0.99
gyro, -6.93, 1.42, -1.51
gyro, -8.50, 0.29, -1.18
gyro, -9.66, 0.70, -0.66
gyro, -8.09, -4.66, -0.03
gyro, -7.95, -4.99, 0.58
gyro, -8.32, -2.12, 0.27
gyro, -5.95, -0.99, -0.85
gyro, -2.85, 0.78, -1.85
gyro, -1.65, 2.55, -2.61
gyro, -0.14, 3.85, -1.95
gyro, -2.06, 3.98, -0.78
gyro, -5.04, 0.03, 0.52
gyro, -6.81, -5.65, 0.76
gyro, -6.73, -6.46, 0.53
gyro, -6.47, -4.15, -0.26
gyro, -5.22, -1.54, -1.40
gyro, -4.26, 2.32, -2.11
gyro, -4.50, 2.72, -2.03
gyro, -6.37, -0.44, -0.35
gyro, -8.11, -4.40, 0.14
gyro, -7.21, -3.47, 0.56
gyro, -6.46, -1.47, 0.72
gyro, -5.92, 1.07, 0.24
gyro, -5.51, 2.81, -0.92
gyro, -5.42, 0.21, -2.63
gyro, -4.85, 0.06, -3.76
gyro, -5.05, 1.62, -4.17
gyro, -5.63, 3.16, -3.33
gyro, -6.84, 3.51, -1.76
gyro, -6.72, 2.00, 0.05
gyro, -6.99, -0.87, 2.00
gyro, -8.38, -3.27, 2.64
gyro, -6.93, -4.26, 1.34
gyro, -3.85, -3.04, -0.41
gyro, -2.17, 4.70, -2.96
gyro, -3.50, 5.95, -3.27
gyro, -5.25, 5.76, -2.64
gyro, -8.09, 1.24, -0.81
gyro, -12.63, -4.79, 1.69
gyro, -15.92, -10.50, 2.89
gyro, -18.11, -13.83, 2.76
gyro, -16.98, -12.00, 2.87
gyro, -12.99, -5.74, 1.69
gyro, -7.94, -0.29, -1.65
gyro, -2.53, 9.94, -3.89
gyro, -1.31, 15.21, -3.94
gyro, -3.01, 15.18, -3.53
gyro, -5.21, 10.17, -1.83
gyro, -12.73, -3.10, 1.77
gyro, -14.46, -10.14, 2.89
gyro, -14.06, -8.14, 3.33
gyro, -12.79, -10.27, 3.04
gyro, -6.73, -5.80, 0.89
gyro, -3.60, -3.24, -1.15
gyro, -2.99, 1.31, -2.56
gyro, -3.33, 0.85, -2.20
gyro, -5.88, -1.60, -1.69
gyro, -5.50, -5.73, -0.35
gyro, -4.81, -9.22, 2.46
gyro, -4.37, -11.47, 3.50
gyro, -1.57, -13.36, 2.70
gyro, 1.11, -10.92, 1.79
gyro, 3.13, -8.96, 3.11
gyro, 2.50, -7.01, 4.58
gyro, 2.53, -6.38, 5.24
gyro, 2.61, -4.82, 3.10
gyro, 4.75, -1.59, 1.47
gyro, 7.36, -0.12, 1.76
gyro, 11.27, -1.76, 0.99
gyro, 19.63, -1.62, -0.32
gyro, 28.56, 2.05, -0.58
gyro, 34.12, 4.27, -1.76
gyro, 41.07, 6.63, -1.44
gyro, 43.91, 8.49, -1.94
gyro, 48.72, 7.45, -1.62
gyro, 49.37, 9.62, -2.72
gyro, 45.28, -1.82, -3.82
gyro, 50.17, 12.81, -5.24
gyro, 56.26, -6.66, -11.95
gyro, 68.98, 3.71, -9.68
gyro, 69.74, 2.92, -11.18
gyro, 77.01, 19.85, -12.92
gyro, 74.09, 11.05, -15.02
gyro, 74.24, 15.04, -16.84
gyro, 73.68, 16.43, -17.04
gyro, 73.76, 9.71, -18.50
gyro, 71.65, 8.37, -19.39
gyro, 74.92, -2.67, -20.41
gyro, 75.34, -0.66, -20.66
gyro, 73.92, -2.89, -17.85
gyro, 70.52, 1.04, -18.63
gyro, 55.13, 2.11, -15.37
gyro, 51.89, 1.40, -14.43
gyro, 53.28, 6.85, -13.68
gyro, 53.89, 0.53, -13.13
gyro, 53.48, 3.40, -11.95
gyro, 49.25, 5.94, -13.34
gyro, 38.72, 9.24, -14.76
gyro, 27.01, 11.69, -16.73
gyro, 22.38, 19.42, -15.04
gyro, 22.32, 19.79, -13.24
gyro, 25.31, 19.44, -11.88
gyro, 29.56, 15.21, -11.71
gyro, 34.15, 10.24, -11.15
gyro, 38.05, 1.92, -11.48
gyro, 38.23, 3.08, -12.76
gyro, 33.28, 5.10, -15.86
gyro, 33.53, 10.02, -16.46
gyro, 37.95, 9.33, -15.79
gyro, 41.44, 1.76, -18.55
gyro, 47.15, 9.56, -17.59
gyro, 49.80, 0.96, -16.70
gyro, 48.35, 4.20, -15.07
gyro, 44.35, -2.24, -14.76
gyro, 39.59, -2.61, -12.44
gyro, 32.43, -8.00, -13.33
gyro, 23.34, -8.32, -13.60
gyro, 18.09, -12.56, -14.49
gyro, 13.76, -16.37, -18.26
gyro, 15.85, -5.97, -17.88
gyro, 33.53, 4.63, -18.26
gyro, 34.60, 2.84, -19.71
gyro, 31.76, 10.58, -20.58
gyro, 28.00, 5.71, -21.21
gyro, 15.34, 1.74, -21.01
gyro, 4.67, -11.13, -23.40
gyro, -9.98, -20.00, -28.84
gyro, -15.68, -19.48, -35.11
gyro, 5.56, -14.81, -33.79
gyro, 28.50, -13.60, -29.18
gyro, 45.18, -6.96, -25.08
gyro, 50.55, -7.71, -20.96
gyro, 48.14, -3.36, -17.25
gyro, 39.85, -2.41, -14.72
gyro, 17.68, -12.44, -17.80
gyro, 14.09, -15.88, -18.70
gyro, 14.81, -14.32, -17.13
gyro, 19.80, -10.08, -14.81
gyro, 22.31, -11.02, -16.87
gyro, 23.85, -8.63, -19.02
gyro, 27.86, -0.41, -16.44
gyro, 35.37, 1.10, -13.39
gyro, 35.04, 0.43, -12.81
gyro, 27.31, -3.07, -14.53
gyro, 21.95, -6.40, -18.20
gyro, 14.18, -4.37, -23.25
gyro, 19.79, -5.77, -24.58
gyro, 9.28, -4.52, -35.62
gyro, 10.15, -12.89, -45.83
gyro, 18.35, -21.16, -50.78
gyro, 11.56, -33.57, -54.67
gyro, 24.60, -19.02, -42.82
gyro, 17.71, -11.68, -32.98
gyro, 7.19, -5.39, -24.96
gyro, -16.93, 1.65, -19.63
gyro, -33.19, 4.29, -19.48
gyro, -47.19, 0.72, -22.79
gyro, -54.05, 6.34, -18.78
gyro, -54.14, 2.87, -21.60
gyro, -36.73, 4.92, -19.33
gyro, -17.95, 14.14, -9.44
gyro, -17.56, 10.23, -7.11
gyro, -24.14, -5.13, -9.88
gyro, -34.64, -16.87, -11.07
gyro, -48.02, -27.21, -13.56
gyro, -48.67, -28.47, -18.64
gyro, -48.50, -21.73, -17.53
gyro, -48.14, -15.62, -16.67
gyro, -38.61, -10.84, -14.00
gyro, -29.36, -1.71, -9.62
gyro, -21.25, 11.30, -3.83
gyro, -23.15, 11.07, 0.84
gyro, -32.47, 5.27, 1.18
gyro, -34.78, 3.25, 3.08
gyro, -31.74, -12.21, -3.10
gyro, -22.70, -15.21, -3.63
gyro, -13.94, -12.23, -2.70
gyro, -8.78, -12.40, -4.61
gyro, -8.99, -4.81, -2.17
gyro, -9.97, 0.89, 0.38
gyro, -14.37, 5.60, 1.73
gyro, -19.89, 8.53, 3.94
gyro, -21.62, 5.60, 4.14
gyro, -21.80, -1.44, 1.91
gyro, -22.52, -4.85, 0.17
gyro, -18.08, -4.95, 2.34
gyro, -16.73, -6.58, 1.18
gyro, -15.91, -3.97, 1.68
gyro, -13.82, -1.82, 2.95
gyro, -13.04, -2.26, 2.87
gyro, -15.08, -5.42, 1.47
gyro, -17.07, -8.98, 0.24
gyro, -18.96, -11.10, 1.07
gyro, -21.30, -11.24, 2.05
gyro, -22.85, -11.65, 5.42
gyro, -25.63, -11.50, 8.20
gyro, -27.82, -7.91, 10.27
gyro, -28.00, -5.42, 10.85
gyro, -27.36, -2.98, 8.81
gyro, -24.67, 0.50, 8.49
gyro, -24.32, 0.24, 6.84
gyro, -27.92, -0.93, 7.05
gyro, -27.51, -0.55, 11.02
gyro, -24.64, -0.53, 16.37
gyro, -25.40, -0.20, 20.17
gyro, -28.49, -1.08, 20.82
gyro, -31.37, -3.27, 20.32
gyro, -35.59, -9.94, 16.72
gyro, -41.68, -17.33, 10.49
gyro, -42.61, -19.63, 6.60
gyro, -37.82, -14.23, 10.17
gyro, -34.82, -9.97, 15.63
gyro, -37.48, -10.44, 18.53
gyro, -45.77, -10.79, 19.56
gyro, -42.18, -4.92, 22.73
gyro, -38.00, 1.39, 26.05
gyro, -37.60, 1.05, 25.66
gyro, -40.09, -7.42, 22.23
gyro, -42.81, -17.21, 19.91
gyro, -47.34, -21.88, 19.54
gyro, -50.09, -19.85, 21.71
gyro, -48.53, -21.34, 23.66
gyro, -50.55, -27.88, 24.11
gyro, -53.66, -30.50, 24.27
gyro, -50.32, -35.22, 20.87
gyro, -44.60, -28.84, 20.44
gyro, -27.95, -31.21, 8.89
gyro, -26.23, -42.75, 1.65
gyro, -24.60, -53.50, -0.90
gyro, -25.11, -61.82, -1.80
gyro, -26.17, -63.89, -1.07
gyro, -22.85, -55.57, 4.89
gyro, -15.28, -42.84, 14.58
gyro, -6.61, -27.60, 26.06
gyro, -1.04, -9.83, 37.33
gyro, 1.07, 5.85, 45.79
gyro, 1.73, 13.76, 46.40
gyro, -1.24, 17.25, 45.11
gyro, -2.70, 17.62, 37.28
gyro, -6.40, 19.01, 29.10
gyro, -6.43, 22.49, 19.76
gyro, -1.97, 16.17, 15.44
gyro, 2.31, 13.04, 13.82
gyro, 1.50, 10.84, 12.23
gyro, 3.60, 5.37, 12.95
gyro, 5.89, 1.01, 13.63
gyro, 4.34, 4.31, 12.24
gyro, 6.31, 13.31, 13.68
gyro, -1.37, 19.80, 16.81
gyro, -4.23, 27.40, 19.88
gyro, -4.53, 30.90, 17.45
gyro, -5.74, 25.11, 18.32
gyro, -6.99, 18.41, 12.85
gyro, -6.35, 16.09, 9.77
gyro, -0.46, 7.39, 7.71
gyro, 3.45, 2.75, 6.38
gyro, 7.71, -8.46, 8.96
gyro, 1.24, -17.71, 10.41
gyro, -12.53, -28.08, 15.37
gyro, -11.45, -28.58, 16.21
gyro, -13.02, -22.21, 15.33
gyro, -15.42, -13.42, 17.63
gyro, -13.86, -0.82, 19.94
gyro, -11.76, 7.24, 21.44
gyro, -11.25, 15.24, 22.78
gyro, -13.45, 10.43, 20.47
gyro, -19.19, 4.81, 18.75
gyro, -23.36, -0.67, 15.98
gyro, -21.98, -6.70, 14.89
gyro, -24.41, -8.72, 13.77
gyro, -25.48, -8.55, 13.86
gyro, -20.37, -3.48, 18.89
gyro, -20.63, -5.01, 20.08
gyro, -23.57, -11.30, 17.10
gyro, -26.08, -13.08, 11.39
gyro, -17.73, -0.81, 11.45
gyro, -15.31, 10.56, 11.27
gyro, -15.82, 28.27, 14.76
gyro, -11.59, 34.93, 19.94
gyro, -15.76, 25.76, 22.05
gyro, -26.20, 10.18, 18.95
gyro, -30.18, -2.37, 13.08
gyro, -32.66, -6.82, 7.92
gyro, -33.71, -2.56, 7.73
gyro, -30.75, 7.94, 12.11
gyro, -30.70, 8.08, 12.41
gyro, -21.22, 11.08, 13.15
gyro, -14.02, 9.25, 13.02
gyro, -9.22, 15.22, 6.93
gyro, -8.02, 16.21, 7.69
gyro, -5.13, 18.72, 8.37
gyro, -2.92, 19.15, 9.33
gyro, -9.40, 14.34, 9.57
gyro, -15.27, 8.61, 8.18
gyro, -16.11, 5.71, 6.69
gyro, -16.14, 5.15, 6.03
gyro, -13.68, 2.73, 3.77
gyro, -12.46, -5.16, 2.69
gyro, 0.50, 4.81, 4.90
gyro, 4.05, 18.69, 5.36
gyro, -12.50, 25.30, 4.47
gyro, -14.21, 24.35, 6.44
gyro, -14.17, 11.21, 5.59
gyro, -21.22, -5.74, 4.24
gyro, -21.85, -11.71, 4.34
gyro, -24.72, -12.21, 5.57
gyro, -24.17, -6.89, 9.31
gyro, -25.95, -1.51, 11.34
gyro, -26.75, -1.69, 11.63
gyro, -25.15, -3.15, 11.02
gyro, -27.91, -7.18, 7.51
gyro, -27.11, -3.92, 2.06
gyro, -25.42, 2.11, -2.17
gyro, -25.48, 8.41, -3.10
gyro, -25.82, 9.68, -2.89
gyro, -27.65, 7.33, -0.87
gyro, -28.78, 5.21, 2.41
gyro, -42.61, -11.21, 6.29
gyro, -49.86, -21.98, 6.12
gyro, -49.24, -18.89, 4.75
gyro, -41.76, -18.26, 1.27
gyro, -34.75, -9.05, -1.10
gyro, -28.21, 0.21, -2.84
gyro, -17.24, 13.54, -0.79
